Source,Property,Value
ndc_sdg_all indicators,Title (75 character limit),NDC-SDG Linkages
ndc_sdg_all indicators,Technical Title,Examining the Alignment Between the Intended Nationally Determined Contributions and the Sustainable Development Goals
ndc_sdg_all indicators,Source Organization,World Resources Institute
ndc_sdg_all indicators,Learn More Link,https://www.wri.org/research/examining-alignment-between-intended-nationally-determined-contributions-and-sustainable
ndc_sdg_all indicators,"Function/Summary: Tagline description of what data says 
(150 character limit)",Analysis of the linkages between the NDCs and SDGs
ndc_sdg_all indicators,"Description: 
Recap data name, source organization
Objectives/ data type/ Methodology","The NDC-SDG linkage analysis is a comprehensive study, which examines the degree of alignment between the (I)NDCs and the 169 targets of the 2030 Sustainable Development Agenda. Climate action texts were extracted from the NDCs and aligned with relevant targets. The study was carried out by WRI to support joint implementation of both the Paris Agreement and the 2030 Agenda."
ndc_sdg_all indicators,Cautions: Known use limitations/cautions regarding: geographic/content coverage; source (inconsistency); methodology ,"This study only considers the contents of NDCs. Other national climate policies were not examined, following our methodology. A certain degree of subjectivity is admitted for this study. The analysis covers NDCs submitted prior to May 2021."
ndc_sdg_all indicators,Geographic Coverage: global; quasi-global; select regions/countries,Global
ndc_sdg_all indicators,Date of Content: List all years; for multiple years (2001 - 2014),2016
ndc_sdg_all indicators,Frequency of Updates: annual; every x years/months/days; no updates planned,As available
ndc_sdg_all indicators,Summary of License,Creative Commons Attribution-NonCommercial 4.0 International license
ndc_sdg_all indicators,Link to License or Terms of Service,https://creativecommons.org/licenses/by/4.0/
ndc_sdg_all indicators,Citation,"Northrop, E., H. Biru, S. Lima, M. Bouye, and R. Song. 2016. ""Examining the Alignment between the Intended Nationally Determined Contributions and Sustainable Development Goals."" Working Paper. Washington, DC: World resources Institute. Available online at: https://www.wri.org/research/examining-alignment-between-intended-nationally-determined-contributions-and-sustainable"
ndc_sdg_all indicators,Published Language,English
